slug,name,active,product_count,order_volume_label,order_volume_numeric,order_volume_tier,years_on_noths,months_on_noths,tenure_label,brand_review_count,brand_reviews_available,location,returns_address_full,sample_product_url,passA_status,passB_status,reviews_blank_count,location_blank_count,fail_count,last_error,last_updated
lisaangeljewellery,Lisa Angel,True,1503,1.4M+,1400000,1M+,17,,17 years,43837,True,"NORWICH, GB",,https://www.notonthehighstreet.com/lisaangeljewellery/product/customise-your-lisa-angel-order,200,200,0,0,0,,2026-03-31
bloomboutique,Bloom Boutique,True,0,1.1M+,1100000,1M+,15,,15 years,0,True,,,,200,0,0,0,0,,2026-03-31
oakdenedesigns,Oakdene Designs,True,1056,1.0M+,1000000,1M+,14,,14 years,24506,True,"Surrey, GB",,https://www.notonthehighstreet.com/oakdenedesigns/product/personalised-baby-details-print,200,200,0,0,0,,2026-03-31
hurleyburley,Hurleyburley,True,870,780K+,780000,500K+,18,,18 years,23898,True,"London , GB",,https://www.notonthehighstreet.com/hurleyburley/product/silver_heart_charm_bracelet,200,200,0,0,0,,2026-03-31
dibor,Dibor,True,932,710K+,710000,500K+,15,,15 years,16411,True,"West Yorkshire, GB",,https://www.notonthehighstreet.com/dibor/product/noel-hanging-decoration,200,200,0,0,0,,2026-03-31
sophiavictoriajoy,Sophia Victoria Joy,True,1339,680K+,680000,500K+,15,,15 years,17491,True,"Hampshire, GB",,https://www.notonthehighstreet.com/sophiavictoriajoy/product/personalised-fathers-day-wooden-bottle-box,200,200,0,0,0,,2026-03-31
theforestandco,The Forest & Co,True,250,520K+,520000,500K+,15,,15 years,14587,True,"Devon, GB",,https://www.notonthehighstreet.com/theforestandco/product/silver-leaf-mirror,200,200,0,0,0,,2026-03-31
attic,attic,True,538,510K+,510000,500K+,15,,15 years,14459,True,"Dorset, GB",,https://www.notonthehighstreet.com/attic/product/bamboo-baby-comforter-and-teddy-gift-set,200,200,0,0,0,,2026-03-31
letterfest,Letterfest,True,182,460K+,460000,250K+,16,,16 years,17974,True,"North Devon , GB",,https://www.notonthehighstreet.com/letterfest/product/personalised-house-portrait,200,200,0,0,0,,2026-03-31
creategiftlove,Create Gift Love,True,172,450K+,450000,250K+,13,,13 years,12934,True,"Ringwood, GB",,https://www.notonthehighstreet.com/creategiftlove/product/personalised-wooden-cufflinks,200,200,0,0,0,,2026-03-31
ellieellie,Ellie Ellie,True,1529,420K+,420000,250K+,17,,17 years,13253,True,"Pershore, GB",,https://www.notonthehighstreet.com/ellieellie/product/personalised_vintage_scrabble_necklace,200,200,0,0,0,,2026-03-31
sparksanddaughters,Sparks And Daughters,True,432,420K+,420000,250K+,14,,14 years,11147,True,"Somerset, GB",,https://www.notonthehighstreet.com/sparksanddaughters/product/mens-personalised-pie-chart-t-shirt,200,200,0,0,0,,2026-03-31
