slug,name,active,product_count,order_volume_label,order_volume_numeric,order_volume_tier,years_on_noths,months_on_noths,tenure_label,brand_review_count,brand_reviews_available,location,returns_address_full,sample_product_url,passA_status,passB_status,reviews_blank_count,location_blank_count,fail_count,last_error,last_updated
lisaangeljewellery,Lisa Angel,True,1546,1.4M+,1400000,1M+,17,,17 years,43837,True,"NORWICH, GB",,https://www.notonthehighstreet.com/lisaangeljewellery/product/personalised-double-birthday-and-birthstone-charm-necklace,200,403,3,2,6,http_403,2026-04-24
bloomboutique,Bloom Boutique,True,0,1.1M+,1100000,1M+,15,,15 years,0,True,,,,200,0,0,0,0,,2026-04-20
oakdenedesigns,Oakdene Designs,True,1065,1.0M+,1000000,1M+,14,,14 years,24506,True,"Surrey, GB",,https://www.notonthehighstreet.com/oakdenedesigns/product/personalised-metal-dad-protein-scoop,200,403,3,2,6,http_403,2026-04-24
hurleyburley,Hurleyburley,True,857,780K+,780000,500K+,18,,18 years,23898,True,"London , GB",,https://www.notonthehighstreet.com/hurleyburley/product/gold-or-sterling-silver-etched-organic-ring,200,403,3,2,6,http_403,2026-04-24
dibor,Dibor,True,921,710K+,710000,500K+,15,,15 years,16411,True,"West Yorkshire, GB",,https://www.notonthehighstreet.com/dibor/product/tall-standing-wicker-log-cradle-with-wheels,200,403,3,2,6,http_403,2026-04-24
sophiavictoriajoy,Sophia Victoria Joy,True,1406,680K+,680000,500K+,15,,15 years,17491,True,"Hampshire, GB",,https://www.notonthehighstreet.com/sophiavictoriajoy/product/personalised-father-s-day-collage-framed-print,200,403,3,2,6,http_403,2026-04-24
theforestandco,The Forest & Co,True,262,520K+,520000,500K+,15,,15 years,14587,True,"Devon, GB",,https://www.notonthehighstreet.com/theforestandco/product/my-football-team-wash-bag,200,403,3,2,6,http_403,2026-04-24
attic,attic,True,532,510K+,510000,500K+,15,,15 years,14459,True,"Dorset, GB",,https://www.notonthehighstreet.com/attic/product/natrual-birthstone-necklace,200,403,3,2,6,http_403,2026-04-24
letterfest,Letterfest,True,182,460K+,460000,250K+,16,,16 years,17974,True,"North Devon , GB",,https://www.notonthehighstreet.com/letterfest/product/personalised-first-christmas-for-you-story-book,200,403,3,2,6,http_403,2026-04-24
creategiftlove,Create Gift Love,True,172,450K+,450000,250K+,13,,13 years,12934,True,"Ringwood, GB",,https://www.notonthehighstreet.com/creategiftlove/product/personalised-leather-bottle-label,200,403,3,2,6,http_403,2026-04-24
