slug,canonical_slug,aliases,name,active,product_count,brand_review_count,brand_reviews_available,order_volume_label,order_volume_numeric,order_volume_tier,years_on_noths,months_on_noths,tenure_label,location,returns_address_full,brand_url,products_url,affiliate_url,reviews_per_1k_orders
lisaangeljewellery,lisaangeljewellery,,Lisa Angel,True,1365,43793,True,1.4M+,1400000,1M+,17,,17 years,"NORWICH, GB",,https://www.notonthehighstreet.com/partners/lisaangeljewellery,https://www.notonthehighstreet.com/partners/lisaangeljewellery/products,https://www.awin1.com/cread.php?awinmid=18484&awinaffid=1018637&clickref=MostReviewed&ued=https%3A%2F%2Fwww.notonthehighstreet.com%2Fpartners%2Flisaangeljewellery,31.28
bloomboutique,bloomboutique,,Bloom Boutique,True,0,0,True,1.1M+,1100000,1M+,15,,15 years,,,https://www.notonthehighstreet.com/partners/bloomboutique,https://www.notonthehighstreet.com/partners/bloomboutique/products,https://www.awin1.com/cread.php?awinmid=18484&awinaffid=1018637&clickref=MostReviewed&ued=https%3A%2F%2Fwww.notonthehighstreet.com%2Fpartners%2Fbloomboutique,0.0
oakdenedesigns,oakdenedesigns,,Oakdene Designs,True,1095,24487,True,1.0M+,1000000,1M+,14,,14 years,"Surrey, GB",,https://www.notonthehighstreet.com/partners/oakdenedesigns,https://www.notonthehighstreet.com/partners/oakdenedesigns/products,https://www.awin1.com/cread.php?awinmid=18484&awinaffid=1018637&clickref=MostReviewed&ued=https%3A%2F%2Fwww.notonthehighstreet.com%2Fpartners%2Foakdenedesigns,24.49
hurleyburley,hurleyburley,,Hurleyburley,True,992,23889,True,770K+,770000,500K+,18,,18 years,"London , GB",,https://www.notonthehighstreet.com/partners/hurleyburley,https://www.notonthehighstreet.com/partners/hurleyburley/products,https://www.awin1.com/cread.php?awinmid=18484&awinaffid=1018637&clickref=MostReviewed&ued=https%3A%2F%2Fwww.notonthehighstreet.com%2Fpartners%2Fhurleyburley,31.02
dibor,dibor,,Dibor,True,852,16395,True,710K+,710000,500K+,15,,15 years,"West Yorkshire, GB",,https://www.notonthehighstreet.com/partners/dibor,https://www.notonthehighstreet.com/partners/dibor/products,https://www.awin1.com/cread.php?awinmid=18484&awinaffid=1018637&clickref=MostReviewed&ued=https%3A%2F%2Fwww.notonthehighstreet.com%2Fpartners%2Fdibor,23.09
sophiavictoriajoy,sophiavictoriajoy,,Sophia Victoria Joy,True,1504,17476,True,680K+,680000,500K+,15,,15 years,"Hampshire, GB",,https://www.notonthehighstreet.com/partners/sophiavictoriajoy,https://www.notonthehighstreet.com/partners/sophiavictoriajoy/products,https://www.awin1.com/cread.php?awinmid=18484&awinaffid=1018637&clickref=MostReviewed&ued=https%3A%2F%2Fwww.notonthehighstreet.com%2Fpartners%2Fsophiavictoriajoy,25.7
theforestandco,theforestandco,,The Forest & Co,True,247,14573,True,520K+,520000,500K+,15,,15 years,"Devon, GB",,https://www.notonthehighstreet.com/partners/theforestandco,https://www.notonthehighstreet.com/partners/theforestandco/products,https://www.awin1.com/cread.php?awinmid=18484&awinaffid=1018637&clickref=MostReviewed&ued=https%3A%2F%2Fwww.notonthehighstreet.com%2Fpartners%2Ftheforestandco,28.03
attic,attic,,attic,True,582,14438,True,510K+,510000,500K+,15,,15 years,"Dorset, GB",,https://www.notonthehighstreet.com/partners/attic,https://www.notonthehighstreet.com/partners/attic/products,https://www.awin1.com/cread.php?awinmid=18484&awinaffid=1018637&clickref=MostReviewed&ued=https%3A%2F%2Fwww.notonthehighstreet.com%2Fpartners%2Fattic,28.31
letterfest,letterfest,,Letterfest,True,190,17947,True,460K+,460000,250K+,16,,16 years,"North Devon , GB",,https://www.notonthehighstreet.com/partners/letterfest,https://www.notonthehighstreet.com/partners/letterfest/products,https://www.awin1.com/cread.php?awinmid=18484&awinaffid=1018637&clickref=MostReviewed&ued=https%3A%2F%2Fwww.notonthehighstreet.com%2Fpartners%2Fletterfest,39.02
creategiftlove,creategiftlove,,Create Gift Love,True,191,12933,True,450K+,450000,250K+,13,,13 years,"Ringwood, GB",,https://www.notonthehighstreet.com/partners/creategiftlove,https://www.notonthehighstreet.com/partners/creategiftlove/products,https://www.awin1.com/cread.php?awinmid=18484&awinaffid=1018637&clickref=MostReviewed&ued=https%3A%2F%2Fwww.notonthehighstreet.com%2Fpartners%2Fcreategiftlove,28.74
