slug,name,url,location,reviews,product_count_on_brand_page,products_in_cache_total,products_in_cache_active
cloudsandcurrents,Clouds and Currents,,"WESTBURY, GB",,503,0,0
bucketlistprints,Bucket List Prints,,,,416,0,0
wonderweddingstationery,Wonder Wedding Stationery,,,,297,0,0
lowlandsdesign,Lowlands Design,,,,260,0,0
sadlerjones,Sadler Jones,,"Barry, GB",,258,0,0
thechandelierco,TheChandelierCo,,,,249,0,0
ottomanmaison,Ottoman Maison,,,,231,0,0
isabellaandus,Isabella and Us.,,,,216,0,0
nancymac,Nancy Mac,,"London, GB",,205,0,0
houseofnorris,House of Norris,,,,200,0,0
studionoodles,Studio Noodles,,,,183,0,0
sharonjane,Sharon Jane studio,,,,180,0,0
sophiaperezjewellery,Sophia Perez Jewellery,,,,168,0,0
taverncreative,TavernCreative,,,,167,0,0
alainacreates,Alaina Creates,,,,151,0,0
cosywood,CosyWood,,,,150,0,0
evermade,Evermade,,,,149,0,0
tinystoriescandleco,Tiny Stories Candle Co,,,,137,0,0
eloisehall,Eloise Hall,,"Somerset, GB",,136,0,0
millistrations,Millistrations,,,,131,0,0
loraocallaghan,Siora,,,,126,0,0
paperself,PAPERSELF,,,,120,3,0
theseedcardcompany,The Seed Card Company,,,,119,0,0
fanclubclothing,Fanclub Clothing,,,,118,0,0
preciouslittleplum,Precious Little Plum,,"East Sussex, GB",,118,0,0
swaggerandswoon,Swagger & Swoon,,,,118,0,0
bjbgold,The Fine Collective,,,,117,0,0
woodchipandmagnolia,Woodchip & Magnolia,,,,117,0,0
urbangrain,Urban Grain,,,,116,0,0
maudella,MAUDELLA,,,,113,0,0
alhalalcosmetics,AL HALAL COSMETICS,,,,111,0,0
madebyshannon,Made by Shannon,,,,110,0,0
beautyandthebutton,Beauty and the Button,,,,102,0,0
ickaprint,Ickaprint,,,,102,0,0
wittyhearts,Witty Hearts,,"Merseyside, GB",,102,0,0
cleansoap,CLEAN Design,,"Somerset, GB",,100,0,0
poppyjewellery,Poppy Jewellery,,,,100,0,0
talianaomi,Talia Naomi Jewellery,,,,100,0,0
woahtherepickle,Woah there Pickle,,,,100,0,0
kitschnoir,KitsCH Noir,,,,99,0,0
picnicblanketjewellery,Picnic Blanket Jewellery,,,,98,0,0
rubyandb,Ruby and B,,,,98,0,0
propergoodprints,PROPER GOOD PRINTS,,,,97,0,0
heydaydesigns,Heyday Designs,,,,96,0,0
iamroxanne,I am Roxanne,,,,96,0,0
veroillustrates,Vero Illustrates,,,,95,0,0
wildwash,WildWash,,,,95,0,0
aubreyandivory,Aubrey and Ivory,,,,93,0,0
eleanorbowmer,Eleanor Bowmer,,"Manchester , GB",,92,0,0
gosiagrodzkaillustration,Gosia Grodzka Illustration,,,,85,0,0
houseofamaya,House of Amaya,,,,84,2,0
tailoredchocolates,Tailored Chocolates and Gifts,,"Cheshire, GB",,84,0,0
toastedcrumpetdesigns,Toasted Crumpet Designs,,"Leatherhead, GB",,83,0,0
bythepines,By The Pines,,,,81,0,0
hoy,Hoy,,,,81,0,0
rccfurniture,Rcc Furniture,,,,80,0,0
louisetateillustration,Louise Tate Illustration,,,,78,0,0
luminosityglitter,Viva and Wild,,,,78,0,0
cosmozach,cosmozach,,,,77,0,0
janconstantine,Jan Constantine,,,,77,0,0
typeandstory,Type and Story,,,,76,0,0
eteakettea,eteaket tea,,,,74,0,0
katieedwardsillustration,Katie Edwards Illustration,,,,74,0,0
whaleandbird,Whale & Bird,,,,74,0,0
kerrieillustrates,Kerrie Illustrates,,,,73,0,0
kindredmugs,Kindred Mugs Ltd,,,,73,0,0
thewirksworthpotterycompany,The Wirksworth Pottery Company,,,,73,0,0
kinderplanetcompany,Kinder Planet Company,,,,72,0,0
faithhopeandlovedesigns,Faith Hope & Love Designs,,"Gloucestershire, GB",,71,0,0
juniperpress,Juniper Press,,,,71,0,0
uchiandsoto,Uchi & Soto,,,,71,0,0
elliemaedesigns,Ellie Mae Designs,,,,70,0,0
olivertwistdesigns,Oliver Twist Designs,,,,70,0,0
jessicawilde,Jessica Wilde,,,,69,0,0
zolaijewellery,Zolái Jewellery ( formerly known as Luminous Pretties),,,,69,0,0
foolsgold,Fool's Gold,,,,68,0,0
doodlemoo,Doodlemoo,,,,67,0,0
florabee,Flora Bee,,,,67,0,0
lunamia,Luna Mia,,,,67,0,0
houseofpayne,House Of Payne,,,,65,0,0
glasgowsoapcompany,Glasgow Soap Company,,,,64,0,0
punkandpoodle,Punk & Poodle,,,,64,0,0
francescaiannaccone,francesca iannaccone,,,,63,0,0
lotusstonejewellery,Lotus Stone Jewellery,,,,63,0,0
beckybettesworth,Becky Bettesworth,,"Devon, GB",,62,0,0
remailcards,Remail Cards,,,,61,0,0
timeandtoast,TIME AND TOAST,,,,61,0,0
lapetitepomme,La Petite Pomme,,,,60,0,0
frillybylily,Lily McCallin,,,,60,0,0
prints279,PRINTS279,,,,60,0,0
conniewarboysillustration,Connie Warboys Illustration,,,,59,0,0
flamingoandbear,Flamingo and Bear,,,,59,0,0
frommymothersgarden,From My Mother's Garden,,,,59,0,0
millesaisons,Mille Saisons,,,,59,0,0
ecorascals,eco rascals,,,,58,0,0
inkandocean,Ink & Ocean,,,,58,1,0
nicolabaretta,nicola baretta,,,,58,0,0
paperknots,Papertots,,,,58,0,0
sushilla,SuShilla,,,,58,0,0
thestrawberrycardcompany,The Strawberry Card Company,,,,58,0,0
lousurfacepattern,Lousurfacepattern,,,,57,0,0
