slug,name,url,showing_count,visible_out_of_stock,visible_in_stock,status,http_status,error
lisaangeljewellery,Lisa Angel,,0,0,0,missing_url,,
bloomboutique,Bloom Boutique,,0,0,0,missing_url,,
oakdenedesigns,Oakdene Designs,,0,0,0,missing_url,,
hurleyburley,Hurleyburley,,0,0,0,missing_url,,
dibor,Dibor,,0,0,0,missing_url,,
sophiavictoriajoy,Sophia Victoria Joy,,0,0,0,missing_url,,
theforestandco,The Forest & Co,,0,0,0,missing_url,,
attic,attic,,0,0,0,missing_url,,
letterfest,Letterfest,,0,0,0,missing_url,,
creategiftlove,Create Gift Love,,0,0,0,missing_url,,
ellieellie,Ellie Ellie,,0,0,0,missing_url,,
sparksanddaughters,Sparks And Daughters,,0,0,0,missing_url,,
dustandthings,Dust and Things,,0,0,0,missing_url,,
joybycorrinesmith,Joy by Corrine Smith,,0,0,0,missing_url,,
thealphabetgiftshop,The Alphabet Gift Shop,,0,0,0,missing_url,,
kutuu,Kutuu,,0,0,0,missing_url,,
marthajackson,Martha Jackson Sterling Silver,,0,0,0,missing_url,,
studiohop,Studio Hop,,0,0,0,missing_url,,
thedepartmentofgifting,The Department Of Gifting,,0,0,0,missing_url,,
lovethelinks,Lovethelinks,,0,0,0,missing_url,,
twentyseven,Twenty-Seven,,0,0,0,missing_url,,
carriagetrade,The Carriage Trade Company Ltd,,0,0,0,missing_url,,
modocreative,Made At The Mill,,0,0,0,missing_url,,
pogofandango,Pogofandango,,0,0,0,missing_url,,
thechocolatelibrary,Quirky Chocolate,,0,0,0,missing_url,,
marthabrook,Martha Brook,,0,0,0,missing_url,,
my1styears,My 1st Years,,0,0,0,missing_url,,
lucysworld,FromLucy&Co,,0,0,0,missing_url,,
hellolovely,HELLO LOVELY,,0,0,0,missing_url,,
jandsjewellery,J&S Jewellery,,0,0,0,missing_url,,
myposhshop,My Posh Shop,,0,0,0,missing_url,,
abodehomeandgifts,Abode Home & Gifts,,0,0,0,missing_url,,
hurleyburleyman,Hurleyburley man,,0,0,0,missing_url,,
thegiftedit,The Gift Edit,,0,0,0,missing_url,,
gaamaa,Gaamaa,,0,0,0,missing_url,,
marvlingbros,Marvling Bros Ltd.,,0,0,0,missing_url,,
penelopetom,Penelopetom,,0,0,0,missing_url,,
alphabetinteriors,Solesmith,,0,0,0,missing_url,,
claireclose,So Close,,0,0,0,missing_url,,
wue,Wue,,0,0,0,missing_url,,
cloudsandcurrents,Clouds and Currents,,0,0,0,missing_url,,
nest,Nest Gifts,,0,0,0,missing_url,,
selections,Garden Selections,,0,0,0,missing_url,,
mijmoj,MijMoj Design,,0,0,0,missing_url,,
tillyanna,Tillyanna,,0,0,0,missing_url,,
noordinarygiftcompany,No Ordinary Gift,,0,0,0,missing_url,,
sophiejonesjewellery,Sophie Jones Jewellery,,0,0,0,missing_url,,
duncanstewarttextiles,Duncan Stewart,,0,0,0,missing_url,,
oflifeandlemons,Of Life & Lemons,,0,0,0,missing_url,,
paperhigh,Paper High,,0,0,0,missing_url,,
poshtotty,Posh Totty Designs,,0,0,0,missing_url,,
sliceofpiedesigns,Slice of Pie Designs,,0,0,0,missing_url,,
thisisnessie,This Is Nessie,,0,0,0,missing_url,,
edgeinspired,EdgeInspired,,0,0,0,missing_url,,
mollymae,Molly Mae®,,0,0,0,missing_url,,
coconutgrass,coconutgrass,,0,0,0,missing_url,,
gingerray,Ginger Ray,,0,0,0,missing_url,,
herseysilversmiths,Hersey Silversmiths,,0,0,0,missing_url,,
auntiemims,Signs For Life,,0,0,0,missing_url,,
beecycle,BEEcycle,,0,0,0,missing_url,,
giftsonline4u,GiftsOnline4U,,0,0,0,missing_url,,
heatheralsteaddesign,Heather Alstead Design,,0,0,0,missing_url,,
sundaysdaughter,Sunday's Daughter,,0,0,0,missing_url,,
thegluttonousgardener,The Gluttonous Gardener,,0,0,0,missing_url,,
therusticdish,The Rustic Dish®,,0,0,0,missing_url,,
bankslyonbotanical,Banks-Lyon Botanical,,0,0,0,missing_url,,
bombus,Bombus,,0,0,0,missing_url,,
hurleyburleyjunior,Hurleyburley Junior,,0,0,0,missing_url,,
jonnyssister,Jonny's Sister,,0,0,0,missing_url,,
julietreevesdesigns,Juliet Reeves Designs,,0,0,0,missing_url,,
dreamstoreality,Love Lumi Ltd,,0,0,0,missing_url,,
thespicery,the spicery,,0,0,0,missing_url,,
chocolateonchocolate,Choc on Choc,,0,0,0,missing_url,,
lilybelledesigns,Lily Belle,,0,0,0,missing_url,,
mapsinternational,Maps International,,0,0,0,missing_url,,
thedriftingbear,Drifting Co.,,0,0,0,missing_url,,
giftrepublic,Gift Republic,,0,0,0,missing_url,,
mygivenname,MY GIVEN NAME,,0,0,0,missing_url,,
overandover,Over & Over,,0,0,0,missing_url,,
thatsnicethat,That's Nice That,,0,0,0,missing_url,,
wholeinthemiddle,Whole in the Middle,,0,0,0,missing_url,,
andreafays,Andrea Fays,,0,0,0,missing_url,,
designbyeleven,Design by Eleven,,0,0,0,missing_url,,
labouroflove,Labour Of Love,,0,0,0,missing_url,,
sweettreebybrowns,Sweet Trees,,0,0,0,missing_url,,
thehummingbirdcardcompany,The Hummingbird Card Company,,0,0,0,missing_url,,
